frame,center_x,center_y,speed_m_s
99,445.8057556152344,306.7530212402344,35.712177
100,433.5380554199219,300.95025634765625,325.37555
101,435.7816467285156,302.2078857421875,61.667034
102,436.1886901855469,305.5908508300781,81.695076
103,441.2279052734375,306.2810363769531,121.9483
104,442.3951416015625,306.4947509765625,28.45091
105,441.7215881347656,307.58331298828125,30.691574
106,442.2138671875,310.3276672363281,66.84892
107,442.0783386230469,310.3387145996094,3.2602136
108,441.94110107421875,310.4699401855469,4.5525603
109,440.9649658203125,310.7919616699219,24.644484
110,436.5935363769531,302.283447265625,229.34946
111,439.78045654296875,305.72467041015625,112.45364
112,439.6719665527344,305.869140625,4.3317533
113,440.0069885253906,308.53387451171875,64.39269
114,439.1219482421875,309.805419921875,37.14446
115,439.0071105957031,309.9422912597656,4.2836943
116,438.8503723144531,309.9646301269531,3.7959366
117,438.7788391113281,310.0525207519531,2.716999
118,438.5948486328125,310.0687561035156,4.428501
119,441.2311096191406,309.8536376953125,63.417145
120,432.29046630859375,304.69305419921875,247.5073
121,434.27978515625,305.07489013671875,48.566624
122,434.07958984375,305.1010437011719,4.8406744
